Rank,Artist,LeadArtist,Artist Type,Gender,Heritage,TopSong,Year,Decade,Genre,Num1s,Top10s,Top100s
1,Chubby Checker,Chubby Checker,Single,Male,Black,The Twist,1960,1960, R&B,2,7,32
2,Santana|Rob Thomas,Santana,Group,Male,Hispanic,Smooth,1999,1990, Rock,2,6,24
3,Bobby Darin,Bobby Darin,Single,Male,Anglo,Mack The Knife,1959,1950, Pop,1,10,40
4,Mark Ronson|Bruno Mars,Bruno Mars,Duo,Male,Hispanic,Uptown Funk!,2015,2010, Pop,7,15,22
5,LeAnn Rimes,LeAnn Rimes,Single,Female,Anglo,How Do I Live,1997,1990, Country,1,12,0
6,LMFAO|Lauren Bennett|GoonRock,LMFAO,Group,Mixed,Black,Party Rock Anthem,2011,2010, Dance/Electronic,2,2,8
7,The Black Eyed Peas,The Black Eyed Peas,Group,Mixed,Black,I Gotta Feeling,2009,2000, Pop,3,10,16
8,Los Del Rio,Los Del Rio,Duo,Male,Hispanic,Macarena (Bayside Boys Mix),1996,1990, Latin,1,1,3
9,Ed Sheeran,Ed Sheeran,Single,Male,Anglo,Shape Of You,2017,2010, Pop,2,6,29
10,Olivia Newton-John,Olivia Newton-John,Single,Female,Anglo,Physical,1981,1980, Pop,5,15,38
11,Debby Boone,Debby Boone,Single,Female,Anglo,You Light Up My Life,1977,1970, Country,1,1,3
12,The Beatles,The Beatles,Group,Male,Anglo,Hey Jude,1968,1960, Rock,20,34,71
13,The Chainsmokers|Halsey,The Chainsmokers,Trio,Male,Anglo,Closer,2016,2010, Dance/Electronic,1,5,13
14,Mariah Carey,Mariah Carey,Single,Female,Mixed,We Belong Together,2005,2000, R&B,18,28,48
15,Toni Braxton,Toni Braxton,Single,Female,Black,Un-break My Heart,1996,1990, R&B,2,6,13
16,Usher|Lil Jon|Ludacris,Ludacris,Trio,Male,Black,Yeah!,2004,2000, R&B,5,18,56
17,Kim Carnes,Kim Carnes,Single,Female,Anglo,Bette Davis Eyes,1981,1980, Pop,1,3,19
18,Diana Ross|Lionel Richie,Diana Ross,Duo,Mixed,Black,Endless Love,1981,1980, R&B,6,12,40
19,Rod Stewart,Rod Stewart,Single,Male,Anglo,Tonight's The Night (Gonna Be Alright),1976,1970, Rock,4,16,52
20,Jewel,Jewel,Single,Female,Anglo,Foolish Games/you Were Meant For Me,1997,1990, Pop,2,8,0
21,Bryan Adams,Bryan Adams,Single,Male,Anglo,(Everything I Do) I Do It For You,1991,1990, Pop,4,11,25
22,Boyz II Men,Boyz II Men,Group,Male,Black,I'll Make Love To You,1994,1990, R&B,5,10,18
23,Percy Faith|His Orchestra,Percy Faith,Group,Mixed,Anglo,The Theme From A Summer Place,1960,1960, Pop,1,1,2
24,Chic,Chic,Group,Mixed,Mixed,Le Freak,1978,1970, Dance/Electronic,2,4,9
