DispOrd,Artist,Genre,Title ,Label ,Certified_M,Count
1,MICHAEL JACKSON,pop,Thriller,Epic,33,1
2,EAGLES,rock,Eagles/Their Greatest Hits 1971 - 1975,Rhino,29,1
3,BILLY JOEL,rock,Greatest Hits Volume I & Volume Ii,Columbia,23,1
4,LED ZEPPELIN,hard rock,Led Zeppelin IV,Atlantic,23,1
5,PINK FLOYD,progressive rock,The Wall,Columbia,23,1
6,AC/DC,hard rock,Back In Black,Epic,22,1
7,GARTH BROOKS,country,Double Live,Capitol,21,1
8,HOOTIE & THE BLOWFISH,roots rock,Cracked Rear View,Rhino,21,1
9,FLEETWOOD MAC,pop rock,Rumours,Warner Bros.,20,1
10,SHANIA TWAIN,country,Come On Over,Mercury,20,1
11,THE BEATLES,rock,The Beatles,Apple,19,1
12,GUNS N' ROSES,hard rock,Appetite For Destruction,Geffen,18,1
13,WHITNEY HOUSTON,r&b,The Bodyguard (soundtrack),RCA,18,1
14,BOSTON,hard rock,Boston,Epic,17,1
15,ELTON JOHN,rock,Greatest Hits,Island,17,1
16,GARTH BROOKS,country,No Fences,Capitol,17,1
17,THE BEATLES,rock,The Beatles 1967 - 1970,Emi,17,1
18,ALANIS MORISSETTE,country,Jagged Little Pill,Maverick,16,1
19,BEE GEES,pop,Saturday Night Fever (soundtrack),Capitol,16,1
20,EAGLES,rock,Hotel California,Rhino,16,1
21,LED ZEPPELIN,hard rock,Physical Graffiti,Swan Song,16,1
22,METALLICA,hard rock,Metallica,Atlantic,16,1
23,BOB MARLEY & THE WAILERS,reggae,Legend,Island,15,1
24,BRUCE SPRINGSTEEN,rock,Born In The U.S.A.,Columbia,15,1
25,JOURNEY,hard rock,Greatest Hits,Columbia,15,1
26,PINK FLOYD,progressive rock,Dark Side Of The Moon,Harvest,15,1
27,SANTANA,latin rock,Supernatural,Arista,15,1
28,THE BEATLES,rock,The Beatles 1962 - 1966,Apple,15,1
29,ADELE,pop,21,Columbia,14,1
30,BACKSTREET BOYS,pop,Backstreet Boys,Jive,14,1
31,BRITNEY SPEARS,pop,…Baby One More Time,Jive,14,1
32,GARTH BROOKS,country,Ropin' The Wind,Capitol,14,1
33,MEAT LOAF,r&b,Bat Out Of Hell,Epic,14,1
34,SIMON & GARFUNKEL,folk rock,Simon & Garfunkel's Greatest Hits,Columbia,14,1
35,STEVE MILLER BAND,country rock,Greatest Hits 1974-1978,Capitol,14,1
36,BACKSTREET BOYS,pop,Millennium,Jive,13,1
37,BRUCE SPRINGSTEEN,rock,Bruce Springsteen & E Street Band Live 1975 - '85,Columbia,13,1
38,PEARL JAM,hard rock,Ten,Epic,13,1
39,PRINCE & THE REVOLUTION,funk rock,Purple Rain (soundtrack),Warner Bros.,13,1
40,WHITNEY HOUSTON,r&b,Whitney Houston,Arista,13,1
41,BON JOVI,hard rock,Slippery When Wet,Mercury,12,1
42,BOYZ II MEN,r&b,II,Motown,12,1
